rfm_segment,gross_margin_assumption,median_clv,total_clv,segment_sort_order,margin_pct
At-Risk Customers,0.5,63.254999999999995,2228462.8000000003,4,50
Potential Loyalists,0.5,62.745,988675.12,3,50
Champions,0.5,253.53,12103.8,1,50
Loyal Customers,0.5,163.555,384433.76,2,50
Lost Customers,0.5,20.45,1334248.59,5,50
At-Risk Customers,0.6,75.905,2674153.64,4,60
Potential Loyalists,0.6,75.3,1186410.0599999998,3,60
Champions,0.6,304.24,14524.59,1,60
Loyal Customers,0.6,196.265,461320.31,2,60
Lost Customers,0.6,24.55,1601096.93,5,60
At-Risk Customers,0.65,82.23,2897003.17,4,65
Potential Loyalists,0.65,81.57,1285279.32,3,65
Champions,0.65,329.59,15734.94,1,65
Loyal Customers,0.65,212.62,499763.42,2,65
Lost Customers,0.65,26.59,1734530.86,5,65
At-Risk Customers,0.7,88.555,3119845.91,4,70
Potential Loyalists,0.7,87.845,1384144.54,3,70
Champions,0.7,354.94,16945.280000000002,1,70
Loyal Customers,0.7,228.98,538206.9199999999,2,70
Lost Customers,0.7,28.64,1867945.75,5,70
