customer_state,customer_count,total_clv,median_clv,mean_clv,total_spend,median_orders,median_recency,top_seller_state,local_seller_pct,clv_share_pct
SP,39143,2449671.54,35.78,62.58,5771269.2,1.0,205.0,SP,75.4,38.1
RJ,11914,850036.31,41.67,71.35,2055586.4,1.0,231.0,SP,7.8,13.2
MG,10995,754074.76,40.04,68.58,1818932.65,1.0,223.0,SP,13.8,11.7
RS,5166,355258.47,40.73,68.77,861692.46,1.0,232.0,SP,5.4,5.5
PR,4766,321769.1,38.56,67.51,780868.38,1.0,217.0,SP,14.5,5.0
SC,3446,251434.44,40.88,72.96,594893.45,1.0,226.0,SP,7.1,3.9
BA,3156,244473.39,43.35,77.46,590993.99,1.0,226.0,SP,2.0,3.8
DF,2016,141928.06,41.75,70.4,345250.2,1.0,206.0,SP,2.5,2.2
ES,1928,139739.38,39.66,72.48,317826.85,1.0,227.0,SP,0.4,2.2
GO,1893,136727.31,42.18,72.23,334486.07,1.0,226.0,SP,1.6,2.1
PE,1547,126857.34,48.46,82.0,308739.01,1.0,219.0,SP,1.5,2.0
CE,1258,103363.36,47.9,82.16,266728.51,1.0,242.0,SP,0.7,1.6
PA,922,82654.48,51.78,89.65,212027.55,1.0,251.5,SP,0.0,1.3
MT,855,74737.84,47.22,87.41,181540.96,1.0,225.0,SP,0.7,1.2
PB,502,60140.82,58.2,119.8,137525.67,1.0,231.0,SP,0.2,0.9
MA,700,54874.75,49.24,78.39,148268.88,1.0,249.5,SP,2.0,0.9
MS,680,52876.65,44.39,77.76,134233.2,1.0,213.0,SP,0.0,0.8
PI,464,43078.98,52.6,92.84,105272.17,1.0,226.0,SP,0.2,0.7
RN,464,41620.68,51.69,89.7,100728.3,1.0,234.0,SP,4.5,0.6
AL,387,39408.51,52.17,101.83,94195.79,1.0,240.0,SP,0.0,0.6
SE,328,29975.63,49.96,91.39,70519.05,1.0,270.5,SP,0.0,0.5
TO,267,23305.03,53.18,87.28,60007.37,1.0,224.0,SP,0.0,0.4
RO,231,22879.75,56.66,99.05,57132.98,1.0,261.0,SP,0.0,0.4
AM,140,11138.18,45.56,79.56,27596.18,1.0,228.5,SP,0.0,0.2
AC,76,8503.89,60.9,111.89,19586.25,1.0,320.0,SP,0.0,0.1
AP,66,6899.24,65.42,104.53,16141.81,1.0,222.5,SP,0.0,0.1
RR,40,4883.82,50.98,122.1,9039.52,1.0,208.0,SP,0.0,0.1
